name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Influenza A virus	11320	species	13444	6	6	0.0
Simbu orthobunyavirus	35306	species	12172	66	66	0.0
Choristoneura fumiferana granulovirus	56947	species	104710	2	2	0.0
BeAn 58058 virus	67082	species	163005	4	4	0.0
Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	93838	leaf	13590	10	10	0.0
Influenza A virus (A/Hong Kong/1073/99(H9N2))	130760	leaf	13498	6	6	0.0
Shamonda orthobunyavirus	159150	leaf	12104	22	22	0.0
Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	leaf	13588	10	10	0.0
Influenza A virus (A/New York/392/2004(H3N2))	335341	leaf	13627	13	13	0.0
Influenza A virus (A/California/07/2009(H1N1))	641809	leaf	13158	7769	7769	0.0
Marseillevirus	1513458	genus	0	2	2	0.0
Streptomyces phage Omar	2059882	leaf	49299	8	8	0.0
CrAss-like virus sp.	2831617	species	1635658	2	2	0.0
