fsCOV_56_LEFT	fsCOV_56_RIGHT
fsCOV_57_LEFT	fsCOV_57_RIGHT
fsCOV_58_LEFT	fsCOV_58_RIGHT
fsCOV_59_LEFT	fsCOV_59_RIGHT
fsCOV_60_LEFT	fsCOV_60_RIGHT
fsCOV_61_LEFT	fsCOV_61_RIGHT
fsCOV_62_LEFT	fsCOV_62_RIGHT
fsCOV_63_LEFT	fsCOV_63_RIGHT
fsCOV_64_LEFT	fsCOV_64_RIGHT
fsCOV_65_LEFT	fsCOV_65_RIGHT
fsCOV_66_LEFT	fsCOV_66_RIGHT
fsCOV_67_LEFT	fsCOV_67_RIGHT
fsCOV_68_LEFT	fsCOV_68_RIGHT
fsCOV_69_LEFT	fsCOV_69_RIGHT
fsCOV_70_LEFT	fsCOV_70_RIGHT
fsCOV_71_LEFT	fsCOV_71_RIGHT
fsCOV_72_LEFT	fsCOV_72_RIGHT
fsCOV_73_LEFT	fsCOV_73_RIGHT
fsCOV_74_LEFT	fsCOV_74_RIGHT
fsCOV_75_LEFT	fsCOV_75_RIGHT
fsCOV_76_LEFT3	fsCOV_76_RIGHT4
fsCOV_77_LEFT	fsCOV_77_RIGHT
fsCOV_78_LEFT	fsCOV_78_RIGHT
fsCOV_79_LEFT	fsCOV_79_RIGHT
fsCOV_80_LEFT	fsCOV_80_RIGHT
fsCOV_81_LEFT	fsCOV_81_RIGHT
fsCOV_82_LEFT3	fsCOV_82_RIGHT
fsCOV_83_LEFT	fsCOV_83_RIGHT
fsCOV_84_LEFT	fsCOV_84_RIGHT
fsCOV_85_LEFT	fsCOV_85_RIGHT
