fsCOV_1_LEFT	fsCOV_1_RIGHT
fsCOV_2_LEFT	fsCOV_2_RIGHT
fsCOV_3_LEFT	fsCOV_3_RIGHT
fsCOV_4_LEFT	fsCOV_4_RIGHT
fsCOV_5_LEFT	fsCOV_5_RIGHT
fsCOV_6_LEFT	fsCOV_6_RIGHT
fsCOV_7_LEFT	fsCOV_7_RIGHT
fsCOV_8_LEFT	fsCOV_8_RIGHT
fsCOV_9_LEFT	fsCOV_9_RIGHT
fsCOV_10_LEFT	fsCOV_10_RIGHT
fsCOV_11_LEFT	fsCOV_11_RIGHT
fsCOV_12_LEFT	fsCOV_12_RIGHT
fsCOV_13_LEFT2	fsCOV_13_RIGHT
fsCOV_14_LEFT	fsCOV_14_RIGHT2
fsCOV_15_LEFT	fsCOV_15_RIGHT
fsCOV_16_LEFT	fsCOV_16_RIGHT
fsCOV_17_LEFT	fsCOV_17_RIGHT
fsCOV_18_LEFT	fsCOV_18_RIGHT
fsCOV_19_LEFT	fsCOV_19_RIGHT
fsCOV_20_LEFT	fsCOV_20_RIGHT
fsCOV_21_LEFT	fsCOV_21_RIGHT
fsCOV_22_LEFT	fsCOV_22_RIGHT
fsCOV_23_LEFT	fsCOV_23_RIGHT
fsCOV_24_LEFT	fsCOV_24_RIGHT
fsCOV_25_LEFT	fsCOV_25_RIGHT
fsCOV_26_LEFT	fsCOV_26_RIGHT
