fsCOV_27_LEFT	fsCOV_27_RIGHT
fsCOV_28_LEFT	fsCOV_28_RIGHT
fsCOV_29_LEFT2	fsCOV_29_RIGHT2
fsCOV_30_LEFT	fsCOV_30_RIGHT
fsCOV_31_LEFT	fsCOV_31_RIGHT
fsCOV_32_LEFT	fsCOV_32_RIGHT2
fsCOV_33_LEFT	fsCOV_33_RIGHT
fsCOV_34_LEFT	fsCOV_34_RIGHT
fsCOV_35_LEFT	fsCOV_35_RIGHT
fsCOV_36_LEFT	fsCOV_36_RIGHT
fsCOV_37_LEFT	fsCOV_37_RIGHT
fsCOV_38_LEFT	fsCOV_38_RIGHT
fsCOV_39_LEFT	fsCOV_39_RIGHT
fsCOV_40_LEFT	fsCOV_40_RIGHT
fsCOV_41_LEFT	fsCOV_41_RIGHT
fsCOV_42_LEFT	fsCOV_42_RIGHT
fsCOV_43_LEFT	fsCOV_43_RIGHT
fsCOV_44_LEFT	fsCOV_44_RIGHT
fsCOV_45_LEFT	fsCOV_45_RIGHT
fsCOV_46_LEFT	fsCOV_46_RIGHT
fsCOV_47_LEFT	fsCOV_47_RIGHT
fsCOV_48_LEFT2	fsCOV_48_RIGHT
fsCOV_49_LEFT2	fsCOV_49_RIGHT
fsCOV_50_LEFT	fsCOV_50_RIGHT
fsCOV_51_LEFT	fsCOV_51_RIGHT
fsCOV_52_LEFT3	fsCOV_52_RIGHT2
fsCOV_53_LEFT	fsCOV_53_RIGHT
fsCOV_54_LEFT	fsCOV_54_RIGHT
fsCOV_55_LEFT	fsCOV_55_RIGHT
